id,Название,Класс энергетической эффективности,Ввод в эксплуатацию,Класс недвижимости,Материал стен,Тип отделки,Свободная планировка,Количество этажей,Количество квартир,"Жилая площадь, м²","Высота потолков, м",Велосипедные дорожки,Количество детских площадок,Количество спортивных площадок,Количество площадок для сбора мусора,Количество мест в паркинге,Гостевые места на придомовой территории,Гостевые места вне придомовой территории,Наличие пандуса,Наличие понижающих площадок,Количество инвалидных подъемников,Количество подъездов,Количество пассажирских лифтов,Количество грузовыхи грузопассажирских лифтов,Индекс доступности инфраструктуры,Количество спортивныхплощадок,Наличие понижающихплощадок,Доступность инфраструктуры,Транспортная доступность,Индекс транспортной доступности,Зеленые зоны,Качество воздуха,Индекс зеленой зоны,Индекс качества воздуха
50878,"п. Металлплощадка, б-р Строителей, д. 71, корпус 7",B,IV кв. 2025,Типовой,Кирпич,1 вариант,Есть,4,50,2 223,"2,7",Нет,1,1,1,Нет,Нет,Нет,Есть,Есть,Нет,7,Нет,Нет,5,,,,,,,,,
41996,"ЖК ""Челны Сити""",Не нормируется,III кв. 2024,Комфорт,Монолит-кирпич,Нет,Нет,8,Нет,Нет,Нет,Нет,2,,3,296,296,Нет,Есть,,Нет,-,1,Нет,,1,Есть,9,,,,,,
45490,DOGMA,B,II кв. 2026,Комфорт,Монолит-кирпич,1 вариант,Нет,17,856,35 071,"2,72 - 3,02",Нет,4,5,7,Нет,226,Нет,Есть,Есть,Нет,5,5,5,5,,,,,,,,,
50119,"ЖК ""DOLCE VITA""",A,IV кв. 2025,Комфорт,Монолит-кирпич,Нет,Есть,2,Нет,Нет,Нет,Есть,3,,1,117,117,146,Есть,,Нет,-,Нет,1,,1,Есть,7,,,,,,
40642,ЖК Городские сады,B,IV кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,20,387,23 290,"2,7 - 3,32",Нет,1,1,1,65,59,Нет,Есть,Есть,Нет,3,Нет,9,6,,,,,,,,,
46437,"ЖК ""Радуга Сибири""",B,IV кв. 2024,Типовой,Монолит-кирпич,Нет,Нет,18,571,24 707,"2,64 - 2,8",Нет,1,,1,Нет,288,Нет,Есть,,8,4,Нет,8,,1,Есть,6,2,,,,,
48265,Инстеп.Механизаторов,B,IV кв. 2024,Комфорт,Другое,Нет,Нет,20,601,28 993,"2,64",Нет,1,,1,Нет,231,163,Есть,,Нет,5,5,5,,1,Есть,8,,,,,,
56915,"ЖК ""Скандинавия""",A,IV кв. 2024,Типовой,Другое,1 вариант,Нет,1,1,67,"2,65",Нет,1,1,1,Нет,2,2,Есть,Есть,Нет,1,Нет,Нет,1,,,,,,,,,
47905,"г. Новосибирск, район Октябрьский р-н, ул Владимира Заровного, блок-секция 1-2",B,III кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Есть,20,244,13 570,"2,85",Есть,7,2,3,Нет,142,308,Нет,Есть,Нет,2,Нет,8,8,,,,,6,,,,
49041,г. Владикавказ,D,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Есть,10,127,8 302,"2,85",Нет,3,2,1,Нет,67,22,Есть,Есть,1,2,1,2,7,,,,,,,,,
50249,Курортный комплекс Лучистое,C,IV кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,16,124,4 627,"2,7 - 3",Нет,Нет,,Нет,Нет,12,Нет,Нет,,Нет,1,2,Нет,,Нет,Есть,5,,,,,,
41882,ЖК GREEN TOWN,A+,II кв. 2024,Типовой,Монолит,1 вариант,Нет,5,59,3 173,"2,74",Нет,1,,3,Нет,Нет,157,Нет,,3,3,Нет,Нет,,2,Есть,3,,,,,,
54311,г. Йошкар-Ола,C,II кв. 2025,Комфорт,Кирпич,1 вариант,Нет,11,35,2 645,"2,7",Нет,1,1,1,Нет,32,Нет,Есть,Есть,1,1,1,Нет,8,,,,,,,,,
48787,Комплекс апартаментов МИРАПОЛИС ,B,II кв. 2026,Бизнес,Другое,1 вариант,Нет,36,Нет,Нет,Нет,Нет,Нет,,1,608,608,Нет,Нет,,2,-,28,1,,Нет,Есть,8,4,,9,,,
55418,"п. Металлплощадка, Ограниченный ул. Ворошилова, б-р Строителей, проездом 142, проездом Южный, д. 8",B,IV кв. 2025,Типовой,Кирпич,1 вариант,Есть,4,29,1 323,"2,7",Нет,Нет,Нет,1,Нет,Нет,Нет,Есть,Есть,Нет,4,Нет,Нет,6,,,,,,,,,
54433,"ПАРК-КВАРТАЛ ""КОРОЛЁВ""",A++,IV кв. 2026,Типовой,Монолит-кирпич,1 вариант,Нет,16,156,8 861,"2,7 - 3",Нет,1,1,1,Нет,11,Нет,Есть,Есть,Нет,2,4,4,10,,,,,,,,,
52853,Микрорайон Заречье,B,II кв. 2025,Типовой,Кирпич,Нет,Нет,11,203,9 614,"2,7",Нет,4,,2,Нет,Нет,Нет,Есть,,2,2,2,2,,2,Есть,4,,,,,,
54491,"д. Алтуховка, д. 12, блок-секция 3,4",C,IV кв. 2025,Комфорт,Кирпич,Нет,Нет,11,80,4 517,"2,5 - 2,8",Нет,1,Нет,Нет,Нет,24,16,Есть,Есть,Нет,2,2,Нет,1,,,,,,,,,
49310,Жилой комплекс Композитор,C,I кв. 2025,Комфорт,Кирпич,1 вариант,Нет,17,224,11 459,"2,65",Нет,1,,1,Нет,14,101,Есть,,Нет,2,4,Нет,,1,Есть,8,,,,,,
56702,"Ул. Кечил-оола, 79, II Этап Тип 2",A++,IV кв. 2026,Комфорт,Блоки,1 вариант,Нет,11,64,2 530,"2,7",Нет,1,1,1,Нет,Нет,10,Есть,Есть,Нет,1,1,Нет,7,,,,,,,,,
55053,Морелло,Не нормируется,III кв. 2026,Бизнес,Монолит-кирпич,Нет,Нет,1,Нет,Нет,Нет,Нет,Нет,Нет,Нет,89,Нет,Нет,Нет,Нет,Нет,-,Нет,4,3,,,,,,,,,
51124,"Жилой комплекс ""История 2""",B,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,8,96,4 234,"2,7",Нет,1,,1,Нет,11,Нет,Нет,,Нет,2,2,2,,1,Есть,5,,,,,,
56649,"г. Нефтекамск, ул Декабристов, д. 5В, вл. дом",B,I кв. 2025,Комфорт,Кирпич,1 вариант,Нет,11,70,4 060,"2,7",Нет,1,1,1,Нет,43,Нет,Есть,Есть,Нет,2,2,Нет,8,,,,,,,,,
50619,"мкр Белый хутор (поселок Западный), район Сосновский, улица Береговая, д. 2",B,III кв. 2024,Типовой,Панель,Нет,Нет,7,174,8 010,"2,6",Нет,1,,1,Нет,Нет,Нет,Есть,,Нет,7,7,Нет,,2,Есть,4,,,,,,
47633,"Жилой комплекс ""На Северной""",B,IV кв. 2024,Типовой,Кирпич,1 вариант,Нет,12,60,3 040,"2,5",Нет,Нет,,Нет,Нет,19,Нет,Нет,,Нет,1,Нет,1,,Нет,Есть,7,,,,,,
49490,"ЖК ""ДОЛЬЧЕ ВИТА""",B,II кв. 2024,Комфорт,Кирпич,1 вариант,Нет,6,44,2 084,3,Нет,1,,2,Нет,42,Нет,Есть,,Нет,1,Нет,1,,1,Есть,1,,,,,,
50916,"ЖК ""Вечера""",Не нормируется,I кв. 2026,Типовой,Другое,1 вариант,Нет,1,Нет,Нет,Нет,Есть,1,1,1,77,13,Нет,Нет,Есть,Нет,-,Нет,Нет,9,,,,,,,,,
56895,Квартал в Гагаринском парке,C,IV кв. 2025,Типовой,Другое,1 вариант,Нет,12,54,4 117,"2,73 - 3,03",Нет,2,2,3,Нет,17,Нет,Есть,Есть,Нет,1,Нет,1,6,,,,,,,,,
48873,"Микрорайон ""Теплые Края""",Не нормируется,IV кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,6,Нет,Нет,Нет,Есть,2,,3,497,28,Нет,Нет,,Нет,-,Нет,1,,2,Есть,3,,,,,,
53976,Жилой комплекс СУББОТА,A,IV кв. 2025,Комфорт,Монолит,1 вариант,Нет,20,329,14 622,"2,8",Нет,2,5,1,Нет,38,93,Есть,Есть,2,1,3,9,8,,,,,,,,,
55614,Мкр. имени Рокоссовского,B,II кв. 2025,Типовой,Панель,1 вариант,Нет,20,98,4 124,"2,7 - 3,05",Нет,3,1,1,Нет,86,Нет,Есть,Есть,Нет,1,2,Нет,5,,,,,,,,,
49724,Город оружейников.Жилой дом 19,B,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,11,218,9 193,"2,6",Нет,5,,3,Нет,105,Нет,Есть,,Нет,2,2,Нет,,10,Есть,7,,,,,,
51451,"г. Киров, ул Полевая, д. 11",C,II кв. 2025,Комфорт,Кирпич,Нет,Нет,15,117,4 897,"2,58",Нет,1,Нет,1,Нет,31,1,Есть,Есть,Нет,1,2,Нет,9,,,,,,,,,
53615,"Загородный квартал ""Премьер Новорижский""",B,I кв. 2026,Бизнес,Монолит-кирпич,1 вариант,Есть,3,10,2 458,3,Нет,10,1,4,Нет,40,Нет,Нет,Есть,Нет,10,Нет,Нет,1,,,,,,,,,
52114,"ЖК ""Метропарк-4"" 3 этап",B,II кв. 2030,Комфорт,Монолит-кирпич,1 вариант,Нет,25,719,21 755,"2,64",Нет,6,3,2,Нет,472,250,Нет,Есть,Нет,3,Нет,8,6,,,,,,,,,
53253,"г. Кызыл, ул Олега Саган-оола, д. 4, строение 7",C,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,5,90,4 273,"2,7",Нет,4,2,2,Нет,64,Нет,Нет,Есть,5,5,Нет,Нет,5,,,,,,,,,
54473,"Жилой комплекс ""ПЕРЕМЕНА"" (ЖК ПЕРЕМЕНА)",B,I кв. 2025,Комфорт,Кирпич,1 вариант,Нет,10,62,2 951,"2,7",Нет,Нет,Нет,1,Нет,Нет,Нет,Есть,Есть,Нет,1,1,Нет,6,,,,,,,,,
55138,ЖК Олива,B,I кв. 2025,Комфорт,Кирпич,1 вариант,Нет,5,59,2 194,"2,9 - 3,6",Нет,1,1,1,Нет,330,Нет,Есть,Есть,Нет,1,Нет,Нет,6,,,,,,,,,
50305,"Жилой район ""Волгарь""",A+,IV кв. 2024,Типовой,Кирпич,Нет,Нет,17,300,14 670,"2,7",Нет,1,,1,Нет,150,Нет,Нет,,Нет,2,Нет,4,,1,Есть,6,1,,,,,
44181,СКАНДИА.Квартал у озера,A,II кв. 2024,Типовой,Монолит-кирпич,1 вариант,Нет,4,59,2 768,"2,72 - 2,92",Нет,2,,3,Нет,33,Нет,Нет,,Нет,2,Нет,2,,3,Есть,4,,,,,,
56318,"АВТОРСКИЙ ДОМ ""КАНТРИ""",B,II кв. 2026,Комфорт,Кирпич,1 вариант,Нет,5,40,1 964,"2,7",Нет,1,1,1,Нет,16,Нет,Есть,Есть,Нет,2,Нет,Нет,9,,,,,,,,,
49460,"ЖК ""Парк Победы 2""",B,IV кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,2,Нет,Нет,Нет,Нет,4,,8,154,378,Нет,Нет,,Нет,-,Нет,Нет,,6,Есть,7,,,,,,
56374,ПЕРВОЕ МЕСТО (Литер C1 квартал 1.4),B,I кв. 2027,Комфорт,Монолит-кирпич,Нет,Нет,1,Нет,Нет,Нет,Нет,1,1,1,117,26,35,Есть,Есть,Нет,-,Нет,Нет,1,,,,,,,,,
43946,ЖК ЕКАТЕРИНИНСКИЙ ПАРК,Не нормируется,III кв. 2024,Типовой,Монолит-кирпич,1 вариант,Нет,1,Нет,Нет,Нет,Нет,Нет,Нет,Нет,228,81,Нет,Есть,Есть,Нет,-,Нет,Нет,7,,,,,,,,,
52427,"Жилой комплекс ""Березки""",A++,IV кв. 2024,Типовой,Другое,1 вариант,Нет,11,139,7 148,"2,5",Нет,2,2,1,Нет,35,Нет,Есть,Есть,Нет,3,Нет,3,5,,,,,,,,,
48842,"Микрорайон ""Теплые Края""",C,II кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,19,204,8 240,"2,82",Есть,1,,3,Нет,44,Нет,Нет,,Нет,2,Нет,3,,5,Есть,2,,,,,,
48684,"г. Киров, ул Дерендяева, д. 79",B,IV кв. 2024,Комфорт,Кирпич,1 вариант,Нет,10,64,3 932,"2,7",Нет,1,,1,19,22,Нет,Нет,,Нет,1,1,1,,Нет,Есть,10,,,,,,
51323,ЖК Пальмира 2.0,B,III кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,8,84,4 867,"2,62",Нет,1,,1,Нет,46,131,Есть,,Нет,2,4,Нет,,1,Есть,6,,,,,,
56128,ЖК Соборный,C,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,9,98,6 248,3,Нет,1,1,1,Нет,78,17,Нет,Есть,Нет,2,Нет,2,1,,,,,,,,,
54081,"ЖК ""НОВАЯ ВЫСОТА""",A,II кв. 2026,Бизнес,Монолит,1 вариант,Есть,22,159,10 403,"2,9 - 3,35",Есть,1,1,1,130,19,Нет,Есть,Есть,1,1,Нет,2,8,,,,,,,,,
55927,ЖР Изумрудный Бор,B,IV кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,24,258,15 607,"2,72 - 3",Нет,1,1,1,Нет,20,1,Нет,Есть,Нет,3,4,3,6,,,,,2,,,,
26460,"""Клубный дом на Менжинского""",B,IV кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Есть,20,Нет,Нет,Нет,Есть,Нет,,1,127,138,Нет,Есть,,1,-,4,6,,Нет,Есть,9,5,,8,6,,
44142,ФСК Скай Гарден,A,II кв. 2025,Бизнес,Монолит-кирпич,1 вариант,Нет,45,1349,75 816,"2,85 - 3,3",Нет,1,,2,380,48,Нет,Нет,,Нет,7,10,9,,1,Нет,8,4,,8,,,
44530,"мкр Гармония (с Каменка), д. 138, блок-секция 2",C,III кв. 2024,Типовой,Кирпич,1 вариант,Нет,2,1,78,"2,7",Нет,Нет,,Нет,Нет,Нет,Нет,Нет,,Нет,1,Нет,Нет,,Нет,Нет,1,,,,,,
42454,"г. Всеволожск, ул Крымская, д. 3",D,I кв. 2024,Типовой,Панель,1 вариант,Нет,10,176,8 231,"2,7",Нет,1,,1,185,185,42,Есть,,Нет,2,3,3,,1,Есть,7,,,,,,
48656,"п. Менделеевский, ул Маяковского, блок-секция 2",C,II кв. 2025,Типовой,Монолит-кирпич,1 вариант,Нет,12,120,6 027,"2,7",Нет,1,,Нет,Нет,Нет,Нет,Есть,,Нет,1,1,1,,1,Есть,3,,,,,,
44637,ГК ДомСтрой Жилой комплекс МЕГА,B,IV кв. 2024,Типовой,Монолит-кирпич,1 вариант,Есть,18,128,5 223,"2,8 - 3",Есть,Нет,,1,Нет,Нет,29,Есть,,Нет,1,2,Нет,,Нет,Есть,9,,,,,,
49020,Нокса парк корпус 4,C,IV кв. 2024,Типовой,Другое,Нет,Нет,18,198,7 413,"2,65 - 3,07",Есть,1,1,1,Нет,38,Нет,Нет,Есть,Нет,1,Нет,2,7,,,,,,,,,
56502,"Жилой комплекс ""Плеханова 11""",A+,III кв. 2026,Бизнес,Другое,1 вариант,Нет,32,1509,63 794,"2,76",Нет,4,1,3,199,57,Нет,Нет,Есть,Нет,5,15,15,9,,,,,6,,,6,
17823,"г. Омск, район Центральный р-н, ул 4-я Северная, д. 6",B,II кв. 2024,Комфорт,Другое,1 вариант,Есть,20,127,8 150,"2,85 - 3",Нет,1,,1,50,50,Нет,Есть,,Нет,1,1,1,,1,Нет,9,,,,,,
45023,ГК ДомСтрой Первый Ленинский квартал,B,II кв. 2024,Типовой,Монолит-кирпич,1 вариант,Есть,15,96,4 586,"2,82 - 4,25",Есть,1,,Нет,Нет,4,Нет,Есть,,Нет,1,2,Нет,,1,Есть,7,,,,,,
56640,"ЖК ""Парадный ансамбль""",C,II кв. 2026,Комфорт,Монолит-кирпич,1 вариант,Нет,6,389,12 667,"2,77 - 3,07",Нет,4,5,3,Нет,230,Нет,Нет,Есть,Нет,7,7,7,2,,,,,,,,10,
36245,"ЖК ""На Депутатской""",B,II кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,27,328,20 903,"2,72",Есть,1,,1,109,29,Нет,Есть,,Нет,2,4,2,,1,Есть,8,,,,,,
53018,"""Березки-2"" д.5.65",A,III кв. 2026,Комфорт,Кирпич,1 вариант,Есть,2,26,1 385,"2,7",Есть,1,,1,Нет,5,Нет,Нет,,Нет,26,Нет,Нет,,1,Есть,1,,,,,,
56854,"ЖК ""NOVELLA"" (ЖК ""НОВЕЛЛА"")",Не нормируется,IV кв. 2024,Типовой,Монолит-кирпич,Нет,Нет,7,Нет,Нет,Нет,Нет,Нет,Нет,1,1037,18,Нет,Нет,Есть,Нет,-,1,2,7,,,,,,,,,
54795,"ЖК ""Каскад""",B,III кв. 2025,Комфорт,Кирпич,1 вариант,Нет,10,211,9 504,"2,7",Нет,1,1,1,Нет,138,Нет,Нет,Есть,Нет,6,4,4,6,,,,,,,,,
47577,Крымская Резиденция,C,IV кв. 2026,Бизнес,Монолит-кирпич,1 вариант,Нет,20,Нет,Нет,Нет,Есть,Нет,,Нет,175,Нет,Нет,Есть,,Нет,-,Нет,8,,Нет,Есть,6,,,,,,
51367,"ЖК ""На Снежиной""",B,IV кв. 2024,Типовой,Панель,1 вариант,Нет,20,179,8 644,"2,6",Нет,2,,1,Нет,4,9,Есть,,Нет,1,Нет,2,,1,Нет,7,4,,,,,
56401,г. Липецк,A,III кв. 2024,Комфорт,Кирпич,1 вариант,Нет,4,20,1 132,"2,85",Нет,1,1,1,Нет,10,Нет,Нет,Нет,1,1,Нет,Нет,6,,,,,,,,,
45865,ЖК «Univer City. Город возможностей»,B,II кв. 2026,Комфорт,Другое,1 вариант,Нет,5,148,5 064,"2,76 - 3,04",Нет,2,1,2,Нет,40,27,Есть,Есть,4,4,4,Нет,7,,,,,1,,,2,
55171,"кп. Домбай, улица Тебердинская, д. 5",B,IV кв. 2026,Комфорт,Монолит-кирпич,1 вариант,Нет,10,36,2 593,"2,8",Нет,Нет,Нет,3,Нет,55,Нет,Есть,Есть,Нет,1,Нет,1,3,,,,,,,,,
50643,ЖК Березовский,B,IV кв. 2024,Типовой,Кирпич,1 вариант,Нет,11,72,4 777,"2,7",Нет,1,,1,Нет,Нет,30,Есть,,2,2,2,Нет,,1,Есть,7,,,,,,
46432,"ЖК ""Михалковский""",C,III кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Есть,21,458,27 379,"2,8",Нет,1,,1,225,37,Нет,Нет,,Нет,5,Нет,10,,1,Есть,9,6,,8,,,
48804,"ЖК ""Лесная сказка"" (г. Светлогорск)",B,I кв. 2026,Бизнес,Монолит-кирпич,1 вариант,Нет,6,148,9 821,"2,7 - 6",Нет,2,,1,38,44,Нет,Нет,,Нет,6,Нет,6,,3,Есть,5,,,,,,
47802,ЖК Новое побережье,B,II кв. 2024,Типовой,Панель,Нет,Нет,20,284,11 505,"2,7",Есть,2,,2,Нет,44,61,Нет,,Нет,1,2,1,,1,Есть,6,,,,,,
55988,город Бердск,B,III кв. 2025,Комфорт,Кирпич,1 вариант,Есть,2,1,80,3,Нет,1,1,1,Нет,1,1,Нет,Нет,Нет,1,Нет,Нет,1,,,,,,,,,
45519,Level Южнопортовая,B,IV кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Есть,69,1465,68 219,"2,85 - 2,92",Нет,3,1,3,Нет,83,37,Нет,Нет,Нет,4,13,6,8,,,,,8,,,5,
48153,"ЖК""ТЕТРИС""",A+,IV кв. 2024,Комфорт,Монолит-кирпич,Нет,Нет,18,179,7 034,"2,54",Нет,1,1,1,Нет,19,Нет,Нет,Есть,1,2,3,Нет,8,,,,,,,,,
56542,Жилой комплекс ДЗЕНПАРК,B,IV кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,4,109,3 510,"2,72",Нет,10,8,5,Нет,521,127,Есть,Есть,Нет,2,Нет,2,1,,,,,,,,,
51491,"""Калинка Парк. Жилой Дом 3""",B,III кв. 2025,Типовой,Монолит-кирпич,1 вариант,Нет,18,361,14 524,"2,62 - 4,4",Нет,1,,1,Нет,27,Нет,Нет,,Нет,2,Нет,4,,1,Есть,9,,,,,,
47768,Город оружейников.Жилой дом 14,C,III кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,11,81,3 827,"2,6",Нет,2,,1,Нет,102,Нет,Нет,,Нет,1,1,Нет,,7,Есть,8,,,,,,
54904,"Квартал о главном ""По любви""",B,IV кв. 2027,Комфорт,Монолит-кирпич,1 вариант,Нет,26,672,27 111,"2,72",Нет,2,2,1,Нет,254,Нет,Нет,Есть,Нет,2,4,4,7,,,,,,,,,
46498,"ЖК ""Друг""",B,III кв. 2026,Комфорт,Монолит-кирпич,1 вариант,Нет,18,64,4 196,"2,7",Нет,2,,5,Нет,391,Нет,Есть,,1,1,1,1,,4,Есть,3,,,,,,
53247,ЖК Яблоневый эко район,B,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,10,255,10 626,"2,84",Нет,1,1,1,Нет,10,Нет,Есть,Есть,Нет,3,3,3,7,,,,,,,,,
51848,Жилой комплекс Царево City (Царево Сити),C,III кв. 2025,Комфорт,Другое,1 вариант,Нет,9,186,8 434,"2,6",Нет,2,,2,Нет,57,Нет,Нет,,Нет,5,5,Нет,,1,Есть,4,,,,,,
50097,"г. Краснодар, литера 20",D,IV кв. 2025,Типовой,Панель,Нет,Нет,3,21,1 127,"2,7",Нет,2,4,1,Нет,Нет,15,Есть,Есть,Нет,2,Нет,Нет,2,,,,,,,,,
48493,"Жилищный комплекс ""Белый город""",C,III кв. 2024,Бизнес,Кирпич,1 вариант,Нет,3,11,778,"2,85",Есть,Нет,,Нет,Нет,Нет,20,Нет,,Нет,1,Нет,Нет,,1,Есть,5,,,,,,
22769,"Жилой комплекс ""Академик""",C,IV кв. 2024,Комфорт,Другое,1 вариант,Нет,25,532,20 374,"2,74",Есть,4,,1,Нет,542,109,Есть,,Нет,3,6,6,,2,Есть,8,,,,,,
49317,"ЖК ""Академик""",A,II кв. 2026,Типовой,Монолит-кирпич,1 вариант,Есть,11,167,6 469,"2,69 - 3,09",Нет,1,,1,Нет,111,Нет,Есть,,Нет,3,Нет,6,,1,Есть,7,,,,,,
56011,"с. Озерецкое, район 3.10",A,IV кв. 2027,Комфорт,Блоки,1 вариант,Нет,5,80,4 926,"2,7",Нет,1,1,Нет,Нет,50,47,Есть,Есть,Нет,3,Нет,Нет,2,,,,,,,,,
36579,"г. Москва, район Р-н Дорогомилово, ул Поклонная, вл. 7",A,III кв. 2025,Элитный,Монолит-кирпич,Нет,Есть,15,Нет,Нет,Нет,Нет,Нет,,Нет,215,Нет,Нет,Есть,,Нет,-,8,Нет,,Нет,Есть,8,9,,9,8,,
48958,Надежный на Пролетарке,C,III кв. 2025,Типовой,Монолит-кирпич,1 вариант,Нет,26,273,13 604,"2,77",Нет,1,1,1,Нет,96,Нет,Нет,Есть,Нет,2,2,2,8,,,,,,,,,
41995,"ЖК ""Челны Сити""",A+,III кв. 2024,Комфорт,Кирпич,Нет,Нет,27,312,21 640,3,Нет,2,,3,Нет,56,54,Есть,,Нет,2,2,4,,4,Есть,8,,,,,,
55502,"Жилой комплекс ""Удинский каскад""",B,II кв. 2025,Типовой,Монолит,1 вариант,Есть,8,28,1 674,"2,75",Есть,1,Нет,Нет,Нет,Нет,4,Есть,Есть,Нет,1,1,1,9,,,,,,,,,
48162,"г. Алупка, ул Левитана И., д. 3Д",A++,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,10,77,3 481,3,Нет,1,1,1,49,12,5,Есть,Есть,Нет,1,Нет,2,2,,,,,,,,,
55866,ЖК Зеленая планета на Мира,B,IV кв. 2028,Комфорт,Другое,1 вариант,Нет,17,126,5 890,"2,72",Нет,3,2,4,Нет,107,950,Есть,Есть,1,1,Нет,2,5,,,,,,,,,
49485,Жилой квартал Республика,B,IV кв. 2024,Типовой,Монолит-кирпич,1 вариант,Нет,9,110,4 293,"2,7",Нет,1,,1,Нет,67,Нет,Есть,,Нет,2,2,Нет,,2,Есть,2,,,,,,
51777,"г. Нальчик, ул Шогенова, корпус 46, блок-секция А",B,II кв. 2024,Типовой,Кирпич,1 вариант,Есть,5,24,1 601,"2,7",Нет,Нет,,1,20,3,Нет,Есть,,Нет,2,Нет,Нет,,Нет,Нет,2,,,,,,
56720,ЖК Форт I этап,A++,IV кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,9,24,1 233,"3,08",Нет,Нет,Нет,Нет,Нет,Нет,Нет,Есть,Есть,Нет,1,1,Нет,9,,,,,,,,,
8928,"Е.квартал ""Мир Внутри""",B,IV кв. 2024,Комфорт,Монолит-кирпич,Нет,Нет,7,Нет,Нет,Нет,Есть,7,,7,201,40,Нет,Есть,,Нет,-,Нет,6,,1,Есть,1,,,1,,,
53531,"г. Барнаул, ул Петра Сухова, д. 34, вл. дом",Не нормируется,II кв. 2024,Типовой,Монолит-кирпич,Нет,Нет,3,Нет,Нет,Нет,Нет,1,1,Нет,100,37,Нет,Есть,Нет,1,-,Нет,Нет,9,,,,,,,,,
55769,Город оружейников.Жилой дом 22,B,III кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,11,232,9 682,"2,6",Нет,1,4,4,Нет,121,Нет,Нет,Есть,Нет,2,2,Нет,8,,,,,,,,,
8787,"г. Красноярск, район Советский р-н, проезд Связистов",Не нормируется,II кв. 2024,Типовой,Монолит-кирпич,Нет,Нет,2,Нет,Нет,Нет,Нет,Нет,,Нет,9,Нет,Нет,Нет,,Нет,-,Нет,Нет,,Нет,Нет,8,,,,,,
46559,Мой Ритм,C,IV кв. 2024,Комфорт,Другое,1 вариант,Нет,19,256,12 387,"2,73",Нет,1,,4,Нет,Нет,Нет,Нет,,Нет,4,4,4,,1,Есть,9,3,,,,,
26047,"г. Краснодар, ул Вагнера, д. 14",B,IV кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,2,10,1 754,"2,92",Нет,1,,1,Нет,37,Нет,Есть,,Нет,10,Нет,Нет,,1,Есть,6,,,,,,
7694,Цветной город,Не нормируется,IV кв. 2025,Комфорт,Другое,1 вариант,Нет,5,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,-,Нет,Нет,5,,,,,7,,,4,
10415,Dream House,D,I кв. 2026,Комфорт,Кирпич,Нет,Есть,16,195,9 781,"2,5",Нет,1,,Нет,Нет,18,Нет,Нет,,Нет,2,2,6,,1,Есть,7,,,,,,
37645,"ЖК ""Аквилон Бисайд""",A+,II кв. 2024,Комфорт,Монолит-кирпич,Нет,Нет,27,690,22 212,"2,72",Есть,3,,2,Нет,35,Нет,Есть,,Нет,2,4,2,,2,Есть,8,7,,7,6,,
47831,"ЖК ""Белая Аллея д.21""",C,II кв. 2024,Типовой,Кирпич,1 вариант,Нет,5,58,2 548,"2,7",Нет,1,,3,Нет,174,Нет,Нет,,Нет,2,Нет,Нет,,1,Есть,2,,,,,,
55111,"г. Ставрополь, ул Октябрьская",C,I кв. 2027,Комфорт,Монолит-кирпич,1 вариант,Нет,11,186,10 547,"3,15",Нет,1,1,1,37,85,Нет,Есть,Есть,Нет,4,4,4,7,,,,,,,,,
52697,Бионика Парк,B,III кв. 2026,Комфорт,Монолит-кирпич,1 вариант,Нет,26,558,34 040,"2,65 - 4,5",Нет,2,,1,Нет,Нет,697,Есть,,Нет,3,9,Нет,,2,Есть,9,,,,,,
52871,"г. Москва, пер Трёхпрудный, д. 9, строение 1",C,III кв. 2027,Элитный,Кирпич,Нет,Нет,6,8,4 006,"3,1 - 3,6",Нет,1,,1,Нет,Нет,Нет,Есть,,Нет,1,4,Нет,,1,Нет,9,10,,3,,,
47147,Воздушная гавань,B,II кв. 2026,Типовой,Блоки,1 вариант,Нет,15,98,3 893,"2,7",Нет,1,,Нет,Нет,67,Нет,Есть,,Нет,1,1,1,,1,Есть,6,,,,,,
