id,Название,Класс энергетической эффективности,Ввод в эксплуатацию,Класс недвижимости,Материал стен,Тип отделки,Свободная планировка,Количество этажей,Количество квартир,"Жилая площадь, м²","Высота потолков, м",Велосипедные дорожки,Количество детских площадок,Количество спортивных площадок,Количество площадок для сбора мусора,Количество мест в паркинге,Гостевые места на придомовой территории,Гостевые места вне придомовой территории,Наличие пандуса,Наличие понижающих площадок,Количество инвалидных подъемников,Количество подъездов,Количество пассажирских лифтов,Количество грузовыхи грузопассажирских лифтов,Индекс доступности инфраструктуры,Количество спортивныхплощадок,Наличие понижающихплощадок,Доступность инфраструктуры,Транспортная доступность,Индекс транспортной доступности,Зеленые зоны,Качество воздуха,Индекс зеленой зоны,Индекс качества воздуха
49000,"ЖК ""Ближе""",C,IV кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,17,224,8 113,"2,54",Нет,1,1,1,Нет,Нет,Нет,Есть,Есть,Нет,1,2,1,5,,,,,,,,,
51103,"ЖД ""Янтарный""",B,I кв. 2025,Комфорт,Кирпич,1 вариант,Нет,12,100,4 994,"2,5",Нет,1,,1,Нет,25,20,Нет,,Нет,1,1,Нет,,1,Есть,6,,,,,,
48676,Цветной бульвар,B,IV кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,27,637,26 888,"2,7 - 3",Нет,1,,1,93,245,Нет,Есть,,Нет,2,Нет,8,,1,Есть,8,4,,,,,
53535,"""Квартал ботаники"" ",A,I кв. 2025,Типовой,Панель,Нет,Нет,12,189,9 815,"2,64",Нет,1,1,1,Нет,95,Нет,Есть,Есть,Нет,5,Нет,5,8,,,,,,,,,
31351,"г. Евпатория, проспект Ленина, д. 25В",A,IV кв. 2024,Типовой,Монолит-кирпич,1 вариант,Нет,8,35,2 592,3,Нет,Нет,,Нет,Нет,4,11,Есть,,Нет,1,1,Нет,,Нет,Есть,8,,,,,,
55368,"Жилой комплекс ""Ньютон""",B,IV кв. 2025,Комфорт,Другое,1 вариант,Есть,24,131,11 259,"2,89",Нет,5,1,3,Нет,304,150,Есть,Есть,Нет,1,Нет,3,6,,,,,,,,,
41055,"ЖК ""ОЧАГ"" 3 очередь строительства",Не нормируется,IV кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,2,Нет,Нет,Нет,Нет,1,1,1,Нет,10,Нет,Есть,Есть,Нет,-,Нет,Нет,8,,,,,,,,,
52160,ЖК Авиатор,A,I кв. 2026,Комфорт,Монолит-кирпич,Нет,Есть,24,266,14 036,"2,6 - 2,7",Нет,3,3,2,Нет,23,Нет,Есть,Есть,Нет,2,2,2,9,,,,,4,,,,
15937,г. Кострома,B,IV кв. 2024,Типовой,Другое,1 вариант,Нет,2,8,415,3,Нет,1,,1,Нет,4,4,Нет,,Нет,1,Нет,Нет,,1,Есть,1,,,,,,
53841,LAMBA,B,IV кв. 2024,Комфорт,Другое,1 вариант,Нет,4,50,1 418,"2,76",Нет,1,1,1,Нет,12,Нет,Есть,Есть,Нет,3,Нет,Нет,4,,,,,,,,,
12722,"ЖК Усадьба, Усадьба жилой комплекс",D,III кв. 2023,Типовой,Монолит-кирпич,1 вариант,Нет,3,45,1 912,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,4,Нет,Нет,4,,,,,,,,,
46550,"ЖК "" Сегодня"" ЛИТЕР 6.Этап 8",B,II кв. 2025,Комфорт,Другое,1 вариант,Нет,17,292,15 986,"2,7",Нет,Нет,,1,Нет,23,Нет,Есть,,Нет,2,Нет,4,,Нет,Есть,5,,,,,,
39399,"Жилой комплекс ""Александрия Таун""",B,III кв. 2024,Комфорт,Кирпич,1 вариант,Есть,2,8,724,3,Есть,3,,2,Нет,Нет,54,Нет,,Нет,8,Нет,Нет,,3,Нет,1,,,,6,,
54021,"UP-квартал ""Новый Московский""",B,II кв. 2025,Комфорт,Монолит-кирпич,Нет,Нет,11,159,5 802,"2,72",Нет,7,3,1,Нет,Нет,Нет,Есть,Есть,Нет,2,4,4,3,,,,,1,,,3,
49517,"Микрорайон ""Новобережье""",B,IV кв. 2024,Комфорт,Панель,1 вариант,Нет,18,340,15 933,"2,7",Нет,1,,1,Нет,144,Нет,Есть,,Нет,3,6,Нет,,1,Есть,6,,,,,,
56380,"""ЖК ""Николаевский 2""ТИП 1""",B,I кв. 2026,Комфорт,Монолит-кирпич,1 вариант,Нет,10,98,4 215,"2,72",Нет,2,Нет,1,Нет,25,80,Есть,Есть,1,1,2,Нет,5,,,,,,,,,
47894,"Микрорайон ""Хороший""",C,IV кв. 2024,Комфорт,Другое,1 вариант,Нет,19,170,8 320,"2,7",Нет,1,,1,Нет,79,106,Нет,,Нет,1,2,1,,Нет,Есть,2,,,,,,
41476,"ЖК""Миловидное""Жилой квартал""Миловидное""",A,III кв. 2024,Комфорт,Другое,Нет,Нет,18,256,11 133,"2,82 - 3,02",Нет,3,,2,Нет,16,25,Нет,,Нет,1,1,5,,2,Есть,6,,,,8,,
36269,"Жилой комплекс ""Комфорт""",C,III кв. 2024,Комфорт,Кирпич,1 вариант,Нет,3,36,1 446,"2,6 - 2,7",Нет,1,,1,Нет,18,Нет,Есть,,Нет,2,Нет,Нет,,1,Нет,3,,,,,,
50897,"г. Якутск, ул Пекарского, д. 5/1",C,II кв. 2025,Типовой,Монолит-кирпич,1 вариант,Нет,16,126,5 509,"2,7",Нет,1,Нет,1,18,50,Нет,Нет,Есть,Нет,1,2,Нет,9,,,,,,,,,
41236,"Жилой Квартал""Парк Победы""",B,III кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,34,489,26 758,"2,57 - 3,92",Есть,2,5,1,Нет,69,Нет,Нет,Есть,Нет,3,4,14,9,,,,,4,,,,
