id,name,energy_efficiency,due_date,class,wall_material,n_finish_types,layout_variation,n_floors,n_flats,life_space,av_flat,min_ceiling_height,max_ceiling_height,bike_paths,n_playgrounds,n_sportsgrounds,n_p_s_grounds,n_garbage_sites,n_parking_places,ramp,lowering_platforms,n_wheelchair_lifts,low_mobility_facilities,n_entrances,n_p_lifts,n_f_lifts,n_lifts,lift_ratio,infrastr_access,transport_access,green_areas,air_quality
25372,"ЖК ""Домодедово парк""",A,2025Q4,Типовой,Другое,2,True,18,288,10855.0,37.69097222222222,2.82,2.82,True,1,2,3,1,5,True,True,0,0.5,3,3,3,6,40.800000000000004,3,,,8.0
51100,"""НОВЫЙ БЕРЕГ""",C,2024Q2,Комфорт,Монолит-кирпич,1,False,3,36,1911.0,53.083333333333336,2.7,2.7,False,1,1,2,1,28,False,True,2,0.5,2,0,0,0,0,2,,,
54344,"г. Омск, ул Завертяева, д. 18, корпус 11",C,2024Q4,Типовой,Монолит-кирпич,1,False,6,70,3183.0,45.47142857142857,3.0,3.0,False,1,1,2,1,55,False,True,0,0.5,2,0,0,0,0,5,,,
54306,"г. Горно-Алтайск, ул Осипенко, д. 26, вл. дом",C,2026Q1,Комфорт,Монолит-кирпич,1,True,12,99,3920.0,39.5959595959596,3.0,3.0,False,1,0,1,1,22,True,True,1,0.5,1,1,3,4,19.18125,8,,,
52255,"ЖК «Причал»,",A+,2025Q1,Комфорт,Другое,1,False,5,287,12894.0,44.926829268292686,2.7,2.8,True,1,1,2,2,14,False,True,0,0.5,12,0,12,12,11.001666666666665,3,,,
54372,Вишневая горка жд.50 (стр.),B,2024Q3,Типовой,Панель,1,False,11,160,8593.0,53.70625,2.7,2.7,False,1,1,2,1,160,False,True,0,0.5,4,4,0,4,30.18181818181818,5,,,
54043,ЖК Зелёный квартал,A+,2024Q4,Типовой,Панель,0,False,17,253,14022.0,55.42292490118577,2.62,2.64,True,0,2,2,2,169,True,True,0,0.5,3,6,0,6,35.469607843137254,6,,,
44578,"мкр Гармония (с Каменка), д. 134, блок-секция 7",C,2024Q3,Типовой,Кирпич,1,False,2,1,110.0,110.0,2.7,2.7,False,0,0,0,0,0,False,False,0,0.0,1,0,0,0,0,1,,,
28712,"ЖК ""Лиговский"" (Литер 45)",B,2025Q1,Типовой,Монолит-кирпич,1,False,8,71,3577.0,50.38028169014085,2.7,2.7,False,1,1,2,1,56,True,True,0,0.5,1,1,1,2,23.518749999999997,6,,,
56332,"г. Северодвинск, улица Республиканская",B,2025Q4,Комфорт,Монолит-кирпич,1,False,4,24,1125.0,46.875,3.05,3.05,False,1,1,2,1,13,False,True,0,0.5,1,0,0,0,0,8,,,
56691,"г. Тула, улица Героя России Макаровца",B,2028Q2,Комфорт,Монолит-кирпич,1,False,14,110,5840.0,53.09090909090909,2.72,2.75,False,1,1,2,2,182,False,True,0,0.5,1,2,1,3,29.59523809523809,7,,,
56690,"г. Тула, улица Героя России Макаровца",B,2028Q2,Комфорт,Монолит-кирпич,1,False,17,137,7193.0,52.503649635036496,2.72,2.75,False,1,1,2,1,182,False,True,0,0.5,1,2,1,3,38.41372549019608,7,,,
45656,"г. Челябинск, Калининский район, улица Университетская Набережная, д. 87",A,2025Q1,Типовой,Панель,1,False,21,95,5270.0,55.473684210526315,2.7,2.7,False,1,1,2,1,218,True,True,0,0.5,1,0,2,2,41.39285714285714,8,,,
42106,"г. Ессентуки, мкр Северный, д. 4",B,2024Q3,Комфорт,Монолит-кирпич,0,False,5,75,3216.0,42.88,2.7,2.7,False,1,1,2,2,14,True,True,0,0.5,3,0,0,0,0,3,,,
